track,artist,album,source,video_title,video_url,upload_date
UNDER MY UMBRELLA,Bladee,Sulfur Surfer,review,Bladee - Sulfur Surfer ALBUM REVIEW,https://www.youtube.com/watch?v=lqtylhukGK8,20260528
DURINS BANE,Bladee,Sulfur Surfer,review,Bladee - Sulfur Surfer ALBUM REVIEW,https://www.youtube.com/watch?v=lqtylhukGK8,20260528
$,JPEGMAFIA,EXPERIMENTAL RAP,review,JPEGMAFIA - EXPERIMENTAL RAP ALBUM REVIEW,https://www.youtube.com/watch?v=u4HWZskUXko,20260527
HEAD,JPEGMAFIA,EXPERIMENTAL RAP,review,JPEGMAFIA - EXPERIMENTAL RAP ALBUM REVIEW,https://www.youtube.com/watch?v=u4HWZskUXko,20260527
DEGENERATES PRAYER,JPEGMAFIA,EXPERIMENTAL RAP,review,JPEGMAFIA - EXPERIMENTAL RAP ALBUM REVIEW,https://www.youtube.com/watch?v=u4HWZskUXko,20260527
¥,JPEGMAFIA,EXPERIMENTAL RAP,review,JPEGMAFIA - EXPERIMENTAL RAP ALBUM REVIEW,https://www.youtube.com/watch?v=u4HWZskUXko,20260527
GYBB,JPEGMAFIA,EXPERIMENTAL RAP,review,JPEGMAFIA - EXPERIMENTAL RAP ALBUM REVIEW,https://www.youtube.com/watch?v=u4HWZskUXko,20260527
MASK ON,JPEGMAFIA,EXPERIMENTAL RAP,review,JPEGMAFIA - EXPERIMENTAL RAP ALBUM REVIEW,https://www.youtube.com/watch?v=u4HWZskUXko,20260527
WAR OVER LAND,JPEGMAFIA,EXPERIMENTAL RAP,review,JPEGMAFIA - EXPERIMENTAL RAP ALBUM REVIEW,https://www.youtube.com/watch?v=u4HWZskUXko,20260527
NO STRIPPERS IN HEAVEN,JPEGMAFIA,EXPERIMENTAL RAP,review,JPEGMAFIA - EXPERIMENTAL RAP ALBUM REVIEW,https://www.youtube.com/watch?v=u4HWZskUXko,20260527
CHAT,JPEGMAFIA,EXPERIMENTAL RAP,review,JPEGMAFIA - EXPERIMENTAL RAP ALBUM REVIEW,https://www.youtube.com/watch?v=u4HWZskUXko,20260527
the cure,Olivia Rodrigo,,roundup,"Olivia Rodrigo, Charli XCX, Muse, The Strokes | Weekly Track Roundup: 5/24/26",https://www.youtube.com/watch?v=c6d2ziF17jE,20260525
SS26,Charli xcx,,roundup,"Olivia Rodrigo, Charli XCX, Muse, The Strokes | Weekly Track Roundup: 5/24/26",https://www.youtube.com/watch?v=c6d2ziF17jE,20260525
New Muscles,mary in the junkyard,,roundup,"Olivia Rodrigo, Charli XCX, Muse, The Strokes | Weekly Track Roundup: 5/24/26",https://www.youtube.com/watch?v=c6d2ziF17jE,20260525
Kick Stones (The Boys),Westside Cowboy,,roundup,"Olivia Rodrigo, Charli XCX, Muse, The Strokes | Weekly Track Roundup: 5/24/26",https://www.youtube.com/watch?v=c6d2ziF17jE,20260525
Pop Pop,Channel Tres,,roundup,"Olivia Rodrigo, Charli XCX, Muse, The Strokes | Weekly Track Roundup: 5/24/26",https://www.youtube.com/watch?v=c6d2ziF17jE,20260525
BLAZE THAT ASS,Big Freedia & SOPHIE,,roundup,"Olivia Rodrigo, Charli XCX, Muse, The Strokes | Weekly Track Roundup: 5/24/26",https://www.youtube.com/watch?v=c6d2ziF17jE,20260525
In Heaven,Xiu Xiu,,roundup,"Olivia Rodrigo, Charli XCX, Muse, The Strokes | Weekly Track Roundup: 5/24/26",https://www.youtube.com/watch?v=c6d2ziF17jE,20260525
Shooting Shadows,Sweeping Promises,,roundup,"Olivia Rodrigo, Charli XCX, Muse, The Strokes | Weekly Track Roundup: 5/24/26",https://www.youtube.com/watch?v=c6d2ziF17jE,20260525
Park,Wiki,,roundup,"Olivia Rodrigo, Charli XCX, Muse, The Strokes | Weekly Track Roundup: 5/24/26",https://www.youtube.com/watch?v=c6d2ziF17jE,20260525
5 Mile Ponytail,The Garden,,roundup,"Olivia Rodrigo, Charli XCX, Muse, The Strokes | Weekly Track Roundup: 5/24/26",https://www.youtube.com/watch?v=c6d2ziF17jE,20260525
Tóxica,Lido Pimienta,,roundup,"Olivia Rodrigo, Charli XCX, Muse, The Strokes | Weekly Track Roundup: 5/24/26",https://www.youtube.com/watch?v=c6d2ziF17jE,20260525
IF YOU THINK I'M A BITCH YOU SHOULD MEET JANE REMOVER,leroy,status update music,review,leroy - status update music ALBUM REVIEW,https://www.youtube.com/watch?v=n1Zwgfz7Jxo,20260524
XO TOUR LLIF3,leroy,status update music,review,leroy - status update music ALBUM REVIEW,https://www.youtube.com/watch?v=n1Zwgfz7Jxo,20260524
CROWDKILLING 101,leroy,status update music,review,leroy - status update music ALBUM REVIEW,https://www.youtube.com/watch?v=n1Zwgfz7Jxo,20260524
NOTHING LASTS FOREVER (EVERY DETAIL U HAVE EVER TOLD ME),leroy,status update music,review,leroy - status update music ALBUM REVIEW,https://www.youtube.com/watch?v=n1Zwgfz7Jxo,20260524
#BOYLETMEKNOW,leroy,status update music,review,leroy - status update music ALBUM REVIEW,https://www.youtube.com/watch?v=n1Zwgfz7Jxo,20260524
THE SUMMER I TURNED PRETTY,leroy,status update music,review,leroy - status update music ALBUM REVIEW,https://www.youtube.com/watch?v=n1Zwgfz7Jxo,20260524
SUMMER FLING,leroy,status update music,review,leroy - status update music ALBUM REVIEW,https://www.youtube.com/watch?v=n1Zwgfz7Jxo,20260524
PIRATE RADIO,Genesis Owusu,Redstar Wu & The Worldwide Scourge,review,Genesis Owusu - Redstar Wu & The Worldwide Scourge ALBUM REVIEW,https://www.youtube.com/watch?v=9lbrFfO5JoI,20260522
STAMPEDE,Genesis Owusu,Redstar Wu & The Worldwide Scourge,review,Genesis Owusu - Redstar Wu & The Worldwide Scourge ALBUM REVIEW,https://www.youtube.com/watch?v=9lbrFfO5JoI,20260522
HELLSTAR,Genesis Owusu,Redstar Wu & The Worldwide Scourge,review,Genesis Owusu - Redstar Wu & The Worldwide Scourge ALBUM REVIEW,https://www.youtube.com/watch?v=9lbrFfO5JoI,20260522
THE WORLDWIDE SCOURGE,Genesis Owusu,Redstar Wu & The Worldwide Scourge,review,Genesis Owusu - Redstar Wu & The Worldwide Scourge ALBUM REVIEW,https://www.youtube.com/watch?v=9lbrFfO5JoI,20260522
LIFE KEEPS GOING,Genesis Owusu,Redstar Wu & The Worldwide Scourge,review,Genesis Owusu - Redstar Wu & The Worldwide Scourge ALBUM REVIEW,https://www.youtube.com/watch?v=9lbrFfO5JoI,20260522
MOST NORMAL AMERICAN VOTER:,Genesis Owusu,Redstar Wu & The Worldwide Scourge,review,Genesis Owusu - Redstar Wu & The Worldwide Scourge ALBUM REVIEW,https://www.youtube.com/watch?v=9lbrFfO5JoI,20260522
DEATH CULT ZOMBIE,Genesis Owusu,Redstar Wu & The Worldwide Scourge,review,Genesis Owusu - Redstar Wu & The Worldwide Scourge ALBUM REVIEW,https://www.youtube.com/watch?v=9lbrFfO5JoI,20260522
